reward maximum_reward best_actions total_actions
2.0259999999999998 20 0 20
6.1619999999999999 40 0 40
12.101000000000001 60 0 60
20.148 80 0 80
30.204999999999998 100 0 100
42.328000000000003 120 0 120
56.482999999999997 140 0 140
72.420000000000002 160 0 160
90.460999999999999 180 0 180
110.461 200 20 200
124.22 220 21 220
142.12200000000001 240 29 240
159.25999999999999 260 37 260
174.09999999999999 280 42 280
188.91200000000001 300 46 300
204.352 320 51 320
220.28 340 57 340
236.46000000000001 360 63 360
252.68799999999999 380 68 380
267.50799999999998 400 73 400
281.84199999999998 420 78 420
296.04899999999998 440 83 440
310.35300000000001 460 88 460
324.791 480 92 480
339.00400000000002 500 97 500
353.41500000000002 520 101 520
368.67200000000003 540 106 540
384.72800000000001 560 113 560
400.79700000000003 580 118 580
417.33499999999998 600 125 600
433.95699999999999 620 131 620
450.51799999999997 640 138 640
466.63 660 144 660
482.48000000000002 680 150 680
497.98399999999998 700 156 700
512.86300000000006 720 162 720
527.29899999999998 740 166 740
540.65899999999999 760 171 760
554.31600000000003 780 175 780
568.13599999999997 800 180 800
581.42899999999997 820 185 820
595.44000000000005 840 190 840
610.12599999999998 860 195 860
625.64999999999998 880 201 880
641.54700000000003 900 207 900
657.97000000000003 920 214 920
674.428 940 221 940
691.03999999999996 960 227 960
707.69600000000003 980 234 980
724.02700000000004 1000 241 1000
740.31899999999996 1020 248 1020
756.44600000000003 1040 255 1040
772.40899999999999 1060 261 1060
788.03499999999997 1080 267 1080
803.54899999999998 1100 273 1100
818.92399999999998 1120 279 1120
834.39599999999996 1140 285 1140
849.577 1160 291 1160
864.61199999999997 1180 297 1180
879.89200000000005 1200 302 1200
895.37099999999998 1220 309 1220
911.06299999999999 1240 315 1240
926.72299999999996 1260 322 1260
942.31299999999999 1280 328 1280
958.19799999999998 1300 335 1300
974.36599999999999 1320 342 1320
990.32000000000005 1340 349 1340
1006.519 1360 356 1360
1022.7329999999999 1380 363 1380
1038.951 1400 370 1400
1055.251 1420 377 1420
1071.5050000000001 1440 384 1440
1087.7619999999999 1460 391 1460
1103.924 1480 398 1480
1120.2619999999999 1500 405 1500
1136.5730000000001 1520 412 1520
1152.5930000000001 1540 418 1540
1168.605 1560 425 1560
1184.7239999999999 1580 432 1580
1200.8720000000001 1600 439 1600
1217.153 1620 446 1620
1233.2750000000001 1640 452 1640
1249.3979999999999 1660 459 1660
1265.6880000000001 1680 466 1680
1281.885 1700 473 1700
1298.146 1720 481 1720
1314.45 1740 488 1740
1330.5830000000001 1760 495 1760
1346.855 1780 503 1780
1363.2760000000001 1800 510 1800
1379.6880000000001 1820 517 1820
1395.96 1840 525 1840
1412.3589999999999 1860 532 1860
1428.703 1880 540 1880
1444.9590000000001 1900 547 1900
1461.383 1920 555 1920
1477.798 1940 562 1940
1494.085 1960 569 1960
1510.5229999999999 1980 577 1980
1526.7719999999999 2000 584 2000
1543.0840000000001 2020 592 2020
1559.47 2040 599 2040
1575.952 2060 607 2060
1592.346 2080 614 2080
1608.828 2100 622 2100
1625.3030000000001 2120 629 2120
1641.693 2140 637 2140
1658.298 2160 644 2160
1674.874 2180 652 2180
1691.5350000000001 2200 660 2200
1708.1120000000001 2220 667 2220
1724.7750000000001 2240 675 2240
1741.4770000000001 2260 683 2260
1758.2239999999999 2280 691 2280
1774.806 2300 699 2300
1791.616 2320 707 2320
1808.3409999999999 2340 715 2340
1825.1569999999999 2360 723 2360
1841.9639999999999 2380 731 2380
1858.7750000000001 2400 739 2400
1875.539 2420 747 2420
1892.2819999999999 2440 755 2440
1909.163 2460 763 2460
1925.924 2480 770 2480
1942.6420000000001 2500 778 2500
1959.3610000000001 2520 786 2520
1976.2190000000001 2540 794 2540
1992.9459999999999 2560 802 2560
2009.8219999999999 2580 810 2580
2026.5170000000001 2600 818 2600
2043.2950000000001 2620 826 2620
2060.1590000000001 2640 834 2640
2077.0540000000001 2660 842 2660
2093.7809999999999 2680 850 2680
2110.6289999999999 2700 858 2700
2127.4470000000001 2720 866 2720
2144.402 2740 875 2740
2161.2220000000002 2760 883 2760
2178.067 2780 891 2780
2195.0010000000002 2800 900 2800
2211.9059999999999 2820 908 2820
2228.759 2840 916 2840
2245.7710000000002 2860 925 2860
2262.6880000000001 2880 933 2880
2279.6610000000001 2900 941 2900
2296.578 2920 950 2920
