reward maximum_reward best_actions total_actions
2.1600000000000001 20 0 20
6.25 40 0 40
12.34 60 0 60
20.190000000000001 80 0 80
30.469999999999999 100 0 100
42.539999999999999 120 0 120
56.289999999999999 140 0 140
72.480000000000004 160 0 160
90.560000000000002 180 0 180
110.56 200 20 200
130.22 220 37 220
148.71000000000001 240 44 240
167.24000000000001 260 55 260
184.93000000000001 280 62 280
203.22999999999999 300 75 300
221.40000000000001 320 83 320
240.06999999999999 340 96 340
258.86000000000001 360 108 360
277.06 380 119 380
295.55000000000001 400 131 400
313.60000000000002 420 141 420
331.24000000000001 440 151 440
349.68000000000001 460 165 460
367.97000000000003 480 176 480
387.14999999999998 500 190 500
405.97000000000003 520 203 520
425.05000000000001 540 217 540
442.66000000000003 560 227 560
460.74000000000001 580 239 580
479.19999999999999 600 252 600
498.06999999999999 620 265 620
517.38 640 279 640
536.55999999999995 660 293 660
555.60000000000002 680 307 680
574.73000000000002 700 322 700
592.73000000000002 720 333 720
610.63 740 345 740
628.5 760 358 760
647.25 780 371 780
666.34000000000003 800 385 800
685.73000000000002 820 400 820
704.65999999999997 840 415 840
723.54999999999995 860 429 860
742.89999999999998 880 443 880
762.08000000000004 900 458 900
781.26999999999998 920 474 920
800.62 940 489 940
819.20000000000005 960 504 960
837.12 980 517 980
855.92999999999995 1000 532 1000
874.19000000000005 1020 543 1020
893.13999999999999 1040 559 1040
911.71000000000004 1060 572 1060
931.32000000000005 1080 589 1080
950.28999999999996 1100 603 1100
969.83000000000004 1120 619 1120
989.22000000000003 1140 635 1140
1008.6900000000001 1160 652 1160
1027.95 1180 666 1180
1047.3 1200 682 1200
1066.8399999999999 1220 699 1220
1086.3699999999999 1240 716 1240
1105.3 1260 731 1260
1124.8 1280 747 1280
1144.3 1300 764 1300
1163.3099999999999 1320 779 1320
1182.3699999999999 1340 794 1340
1201.8900000000001 1360 811 1360
1220.8299999999999 1380 826 1380
1239.03 1400 841 1400
1256.97 1420 854 1420
1275.45 1440 868 1440
1294.8499999999999 1460 885 1460
1314.28 1480 901 1480
1333.9100000000001 1500 918 1500
1353.47 1520 935 1520
1372.74 1540 951 1540
1391.9300000000001 1560 967 1560
1411.26 1580 983 1580
1430.6099999999999 1600 998 1600
1449.6400000000001 1620 1015 1620
1468.8099999999999 1640 1030 1640
1487.5699999999999 1660 1046 1660
1506.9200000000001 1680 1063 1680
1526.5599999999999 1700 1080 1700
1546.22 1720 1098 1720
1565.9200000000001 1740 1114 1740
1585.4200000000001 1760 1131 1760
1604.8900000000001 1780 1147 1780
1624.1199999999999 1800 1162 1800
1643.98 1820 1180 1820
1663.3399999999999 1840 1196 1840
1682.78 1860 1213 1860
1702.23 1880 1229 1880
1721.99 1900 1247 1900
1741.6900000000001 1920 1266 1920
1761.3399999999999 1940 1283 1940
1781.02 1960 1300 1960
1800.48 1980 1317 1980
1820.02 2000 1333 2000
1839.52 2020 1351 2020
1858.48 2040 1366 2040
1877.25 2060 1382 2060
1895.6199999999999 2080 1397 2080
1913.5799999999999 2100 1411 2100
1931.6800000000001 2120 1426 2120
1950.3499999999999 2140 1442 2140
1969.6400000000001 2160 1459 2160
1989.26 2180 1476 2180
2008.49 2200 1492 2200
2027.97 2220 1509 2220
2047.5599999999999 2240 1525 2240
2066.7199999999998 2260 1542 2260
2086.5300000000002 2280 1560 2280
2106.3600000000001 2300 1579 2300
2126.0100000000002 2320 1596 2320
2145.6900000000001 2340 1614 2340
2165.4499999999998 2360 1631 2360
2185.1799999999998 2380 1649 2380
2204.8899999999999 2400 1667 2400
2224.6399999999999 2420 1684 2420
2244.29 2440 1702 2440
2264.0500000000002 2460 1720 2460
2283.71 2480 1738 2480
2303.3200000000002 2500 1755 2500
2323.0900000000001 2520 1772 2520
2342.75 2540 1790 2540
2362.4899999999998 2560 1808 2560
2382.1700000000001 2580 1826 2580
2401.9099999999999 2600 1843 2600
2421.3600000000001 2620 1860 2620
2440.9099999999999 2640 1877 2640
2460.5799999999999 2660 1895 2660
2480.25 2680 1913 2680
2499.6399999999999 2700 1931 2700
2519.1700000000001 2720 1948 2720
2537.71 2740 1962 2740
2556.98 2760 1979 2760
2576.0999999999999 2780 1995 2780
2595.6799999999998 2800 2012 2800
2615.4299999999998 2820 2030 2820
2635.2800000000002 2840 2049 2840
