reward maximum_reward best_actions total_actions
1.9299999999999999 20 0 20
5.8399999999999999 40 0 40
11.74 60 0 60
19.850000000000001 80 0 80
29.850000000000001 100 0 100
41.640000000000001 120 0 120
55.57 140 0 140
71.670000000000002 160 0 160
89.560000000000002 180 0 180
109.56 200 20 200
116.97 220 20 220
128.30000000000001 240 20 240
142.24000000000001 260 21 260
158.56999999999999 280 24 280
175.78999999999999 300 30 300
192.25999999999999 320 38 320
207.66 340 43 340
220.50999999999999 360 47 360
232.25 380 51 380
242.69 400 55 400
252.03999999999999 420 57 420
261.74000000000001 440 59 440
272.01999999999998 460 60 460
284.17000000000002 480 62 480
297.23000000000002 500 64 500
311.08999999999997 520 69 520
324.26999999999998 540 72 540
337.58999999999997 560 76 560
350.69999999999999 580 79 580
364.5 600 82 600
378.60000000000002 620 86 620
393.01999999999998 640 90 640
407.98000000000002 660 95 660
423.41000000000003 680 100 680
438.94 700 106 700
454.74000000000001 720 111 720
471.02999999999997 740 117 740
487.37 760 124 760
503.63999999999999 780 130 780
520 800 136 800
535.92999999999995 820 143 820
550.07000000000005 840 147 840
565.27999999999997 860 151 860
580.69000000000005 880 156 880
595.23000000000002 900 161 900
608.89999999999998 920 165 920
621.77999999999997 940 169 940
634.29999999999995 960 172 960
646.32000000000005 980 176 980
656.19000000000005 1000 178 1000
666.80999999999995 1020 182 1020
678.41999999999996 1040 184 1040
691.10000000000002 1060 188 1060
704.22000000000003 1080 191 1080
717.80999999999995 1100 195 1100
731.70000000000005 1120 199 1120
745.90999999999997 1140 204 1140
761.03999999999996 1160 209 1160
775.98000000000002 1180 213 1180
791.13 1200 218 1200
806.28999999999996 1220 223 1220
821.63 1240 228 1240
837.13999999999999 1260 234 1260
852.85000000000002 1280 239 1280
868.64999999999998 1300 246 1300
884.62 1320 251 1320
900.85000000000002 1340 258 1340
916.62 1360 263 1360
933.20000000000005 1380 269 1380
949.27999999999997 1400 276 1400
965.53999999999996 1420 282 1420
981.82000000000005 1440 288 1440
997.74000000000001 1460 294 1460
1013.36 1480 300 1480
1028.25 1500 305 1500
1043.26 1520 311 1520
1057.8699999999999 1540 316 1540
1072.6300000000001 1560 322 1560
1087.1300000000001 1580 327 1580
1101.04 1600 331 1600
1114.0599999999999 1620 336 1620
1127.1500000000001 1640 340 1640
1140.3599999999999 1660 344 1660
1153.1300000000001 1680 349 1680
1166.03 1700 353 1700
1179.01 1720 358 1720
1191.97 1740 362 1740
1204.46 1760 366 1760
1217.77 1780 371 1780
1231.05 1800 375 1800
1245.2 1820 381 1820
1259.8199999999999 1840 386 1840
1275.1400000000001 1860 392 1860
1290.7 1880 398 1880
1306.2 1900 403 1900
1321.8099999999999 1920 409 1920
1337.47 1940 415 1940
1353.6099999999999 1960 422 1960
1370.03 1980 429 1980
1386.73 2000 436 2000
1403.55 2020 443 2020
1420.1199999999999 2040 449 2040
1436.54 2060 456 2060
1453.1900000000001 2080 463 2080
1469.98 2100 470 2100
1487.0899999999999 2120 478 2120
1503.3199999999999 2140 485 2140
1519.8599999999999 2160 492 2160
1536.4000000000001 2180 498 2180
1552.1500000000001 2200 504 2200
1568.1099999999999 2220 511 2220
1583.75 2240 517 2240
1599.52 2260 523 2260
1615.05 2280 529 2280
1630.26 2300 535 2300
1645.1700000000001 2320 540 2320
