reward maximum_reward best_actions total_actions
1.956 20 0 20
5.9000000000000004 40 0 40
11.933 60 0 60
19.916 80 0 80
29.934999999999999 100 0 100
41.945 120 0 120
56.000999999999998 140 0 140
71.853999999999999 160 0 160
89.819999999999993 180 0 180
109.81999999999999 200 20 200
121.53100000000001 220 21 220
136.815 240 23 240
152.583 260 24 260
167.37 280 26 280
181.09299999999999 300 28 300
194.77600000000001 320 29 320
207.71899999999999 340 30 340
220.71100000000001 360 32 360
233.815 380 33 380
245.965 400 34 400
259.37400000000002 420 36 420
273.42399999999998 440 37 440
287.69799999999998 460 39 460
302.17500000000001 480 40 480
316.596 500 42 500
330.96499999999997 520 43 520
345.26900000000001 540 45 540
359.17500000000001 560 47 560
372.41399999999999 580 48 580
385.52600000000001 600 50 600
397.31900000000002 620 51 620
408.83499999999998 640 52 640
419.93000000000001 660 54 660
430.84199999999998 680 55 680
441.89600000000002 700 56 700
453.15100000000001 720 57 720
464.36900000000003 740 59 740
476.31299999999999 760 60 760
489.07999999999998 780 61 780
502.238 800 63 800
515.59699999999998 820 64 820
529.10500000000002 840 66 840
542.76700000000005 860 67 860
557.03399999999999 880 69 880
571.29300000000001 900 70 900
585.96299999999997 920 72 920
600.57899999999995 940 74 940
615.28800000000001 960 75 960
629.98800000000006 980 77 980
644.50599999999997 1000 79 1000
658.93899999999996 1020 80 1020
673.32299999999998 1040 82 1040
687.553 1060 84 1060
701.64400000000001 1080 86 1080
715.197 1100 87 1100
728.601 1120 89 1120
741.62599999999998 1140 90 1140
754.25599999999997 1160 92 1160
766.952 1180 93 1180
779.62800000000004 1200 95 1200
792.077 1220 96 1220
803.70600000000002 1240 98 1240
815.62099999999998 1260 99 1260
827.72900000000004 1280 101 1280
840.346 1300 102 1300
852.60900000000004 1320 103 1320
865.65999999999997 1340 105 1340
878.99199999999996 1360 106 1360
892.66099999999994 1380 108 1380
906.79399999999998 1400 109 1400
921.13 1420 111 1420
935.57600000000002 1440 113 1440
950.09400000000005 1460 114 1460
964.76800000000003 1480 116 1480
979.42700000000002 1500 118 1500
994.30100000000004 1520 120 1520
1009.194 1540 122 1540
1024.1990000000001 1560 124 1560
1038.885 1580 126 1580
1053.4069999999999 1600 127 1600
1067.8099999999999 1620 129 1620
1082.1559999999999 1640 131 1640
1096.404 1660 133 1660
1110.654 1680 135 1680
1124.77 1700 137 1700
1138.761 1720 138 1720
1152.5160000000001 1740 140 1740
1166.204 1760 142 1760
1179.8430000000001 1780 143 1780
1192.95 1800 145 1800
1206.4369999999999 1820 147 1820
1219.8230000000001 1840 148 1840
