reward maximum_reward best_actions total_actions
59.744999999999997 70 49 100
109.994 140 50 200
180.137 210 150 300
250.416 280 250 400
320.411 350 350 500
390.68099999999998 420 450 600
460.67899999999997 490 550 700
530.85799999999995 560 649 800
600.74800000000005 630 749 900
670.41999999999996 700 849 1000
740.37900000000002 770 948 1100
810.08900000000006 840 1047 1200
879.64400000000001 910 1146 1300
949.32799999999997 980 1244 1400
1019.285 1050 1343 1500
1089.1110000000001 1120 1442 1600
1158.8869999999999 1190 1541 1700
1228.692 1260 1640 1800
1298.413 1330 1738 1900
1368.539 1400 1837 2000
1438.2840000000001 1470 1935 2100
1507.8810000000001 1540 2033 2200
1577.655 1610 2132 2300
1647.2950000000001 1680 2230 2400
1716.8710000000001 1750 2328 2500
1786.442 1820 2427 2600
1856.288 1890 2525 2700
1925.8599999999999 1960 2623 2800
1995.377 2030 2721 2900
2064.9340000000002 2100 2819 3000
2134.5500000000002 2170 2917 3100
2204.5349999999999 2240 3015 3200
2274.1750000000002 2310 3114 3300
2343.712 2380 3213 3400
2413.4679999999998 2450 3311 3500
2482.8919999999998 2520 3410 3600
2552.3000000000002 2590 3508 3700
2622.038 2660 3606 3800
2691.6419999999998 2730 3704 3900
2761.3580000000002 2800 3803 4000
2831.085 2870 3901 4100
2900.723 2940 3999 4200
2970.3400000000001 3010 4098 4300
3040.3009999999999 3080 4198 4400
3110.3209999999999 3150 4296 4500
3180.0329999999999 3220 4395 4600
3249.9870000000001 3290 4494 4700
3319.9580000000001 3360 4593 4800
3389.5030000000002 3430 4691 4900
3458.9189999999999 3500 4790 5000
3528.6170000000002 3570 4889 5100
3598.123 3640 4987 5200
3668.107 3710 5086 5300
3737.8760000000002 3780 5185 5400
3807.4609999999998 3850 5283 5500
3876.9650000000001 3920 5381 5600
3946.6559999999999 3990 5480 5700
4016.4279999999999 4060 5580 5800
4086.2179999999998 4130 5678 5900
4155.9229999999998 4200 5777 6000
4225.6959999999999 4270 5876 6100
4295.6769999999997 4340 5975 6200
4365.5879999999997 4410 6074 6300
4435.5469999999996 4480 6173 6400
4505.3360000000002 4550 6272 6500
4575.0069999999996 4620 6371 6600
4644.8419999999996 4690 6470 6700
4714.8909999999996 4760 6569 6800
4784.451 4830 6668 6900
4854.1540000000005 4900 6766 7000
4923.9369999999999 4970 6864 7100
4993.6300000000001 5040 6963 7200
5063.5829999999996 5110 7062 7300
5133.4989999999998 5180 7161 7400
5203.3209999999999 5250 7259 7500
5272.8280000000004 5320 7357 7600
5342.5060000000003 5390 7456 7700
5412.0529999999999 5460 7555 7800
5481.8310000000001 5530 7654 7900
