reward maximum_reward best_actions total_actions
50.218000000000004 70 0 100
119.932 140 100 200
179.048 210 145 300
238.42599999999999 280 191 400
298.44099999999997 350 242 500
357.20299999999997 420 285 600
413.91199999999998 490 320 700
472.44499999999999 560 363 800
530.53999999999996 630 403 900
587.80100000000004 700 439 1000
645.28700000000003 770 477 1100
704.024 840 521 1200
763.03200000000004 910 565 1300
820.952 980 604 1400
879.39700000000005 1050 645 1500
937.91700000000003 1120 687 1600
996.601 1190 730 1700
1055.3989999999999 1260 773 1800
1114.0940000000001 1330 817 1900
1172.876 1400 861 2000
1231.921 1470 907 2100
1291.2149999999999 1540 953 2200
1350.5609999999999 1610 1000 2300
1409.8399999999999 1680 1047 2400
1468.769 1750 1092 2500
1527.7840000000001 1820 1138 2600
1587.6859999999999 1890 1186 2700
1647.0809999999999 1960 1234 2800
1706.723 2030 1283 2900
1766.4870000000001 2100 1331 3000
1826.22 2170 1379 3100
1886.1479999999999 2240 1429 3200
1946.171 2310 1478 3300
2006.3420000000001 2380 1529 3400
2066.712 2450 1580 3500
2127.3249999999998 2520 1633 3600
2187.837 2590 1686 3700
2248.078 2660 1737 3800
2308.471 2730 1789 3900
2369.0749999999998 2800 1842 4000
2429.4090000000001 2870 1894 4100
2489.9499999999998 2940 1947 4200
2550.5360000000001 3010 2000 4300
2611.2959999999998 3080 2054 4400
2671.7719999999999 3150 2108 4500
2732.4630000000002 3220 2161 4600
2793.5149999999999 3290 2217 4700
2854.6869999999999 3360 2272 4800
2915.819 3430 2327 4900
2976.8339999999998 3500 2383 5000
3038.1529999999998 3570 2439 5100
3099.3649999999998 3640 2495 5200
3160.8119999999999 3710 2552 5300
3222.4569999999999 3780 2610 5400
3283.9920000000002 3850 2668 5500
3345.2489999999998 3920 2726 5600
3406.9160000000002 3990 2784 5700
3468.5749999999998 4060 2843 5800
3530.2860000000001 4130 2901 5900
3591.875 4200 2960 6000
3653.77 4270 3019 6100
3715.7730000000001 4340 3079 6200
3777.7460000000001 4410 3139 6300
3839.8980000000001 4480 3200 6400
3902.1390000000001 4550 3259 6500
3964.1709999999998 4620 3319 6600
4026.0990000000002 4690 3379 6700
4088.2139999999999 4760 3440 6800
4150.5439999999999 4830 3501 6900
4212.6170000000002 4900 3561 7000
4274.884 4970 3624 7100
4337.4380000000001 5040 3685 7200
4399.9120000000003 5110 3746 7300
